"","Compound.Name","Note","type","SampID","replicate","FinalBMIS","BMISdArea","DatOrg","Flu","RF","cell/mL","BMISd_Normed"
"127","Proline",NA,"Smp","LB12LL","AB","AreatoBMIS",20536611300,"HILIC_Dil",57.4,753.7,43262.38,474699.064175387
"128","Proline",NA,"Smp","LB12LL","CD","AreatoBMIS",14260841700,"HILIC_Dil",50.3,753.7,37911.11,376165.237578114
"129","Proline",NA,"Smp","LB12LL","EF","AreatoBMIS",18199889700,"HILIC_Dil",58.5,753.7,44091.45,412775.939552907
"130","Proline",NA,"Smp","RB12LL","AB","AreatoBMIS",73718396900,"HILIC_Dil",215.5,753.7,162422.35,453868.552572968
"131","Proline",NA,"Smp","RB12LL","CD","AreatoBMIS",56203120100,"HILIC_Dil",201.7,753.7,152021.29,369705.585974175
"132","Proline",NA,"Smp","RB12LL","EF","AreatoBMIS",65152374500,"HILIC_Dil",255.4,753.7,192494.98,338462.71991093
"133","Homarine",NA,"Smp","LB12HL","AB","AreatoBMIS",59928234900,"HILIC_Dil",60.9,753.7,45900.33,1305616.6458934
"134","Homarine",NA,"Smp","LB12HL","CD","AreatoBMIS",68413713300,"HILIC_Dil",65.1,753.7,49065.87,1394323.86096486
"135","Homarine",NA,"Smp","LB12HL","EF","AreatoBMIS",69283351700,"HILIC_Dil",67.8,753.7,51100.86,1355815.76709277
"136","Homarine",NA,"Smp","RB12HL","AB","AreatoBMIS",281919934100,"HILIC_Dil",227.3,753.7,171316.01,1645613.47243611
"137","Homarine",NA,"Smp","RB12HL","CD","AreatoBMIS",288229642900,"HILIC_Dil",196.2,753.7,147875.94,1949131.43341642
"138","Homarine",NA,"Smp","RB12HL","EF","AreatoBMIS",312575678100,"HILIC_Dil",200.8,753.7,151342.96,2065346.66759524
"139","Homarine",NA,"Smp","LB12LL","AB","AreatoBMIS",18742337300,"HILIC_Dil",57.4,753.7,43262.38,433224.831828485
"140","Homarine",NA,"Smp","LB12LL","CD","AreatoBMIS",14266802900,"HILIC_Dil",50.3,753.7,37911.11,376322.479083308
"141","Homarine",NA,"Smp","LB12LL","EF","AreatoBMIS",20415673300,"HILIC_Dil",58.5,753.7,44091.45,463030.208804655
