time,lat,lon,depth,compound,treatment_type,eddy_vorticity,size_fraction_um,value
2017-07-04T08:55:00,25,25,25,2-Ketoglutaric acid,Control,Cyclonic,5,1338368.783
2017-07-04T08:55:00,25,25,25,2-Ketoglutaric acid,DMB,Cyclonic,5,906709.2861
2017-07-04T08:55:01,25,25,25,2-Ketoglutaric acid,DMBnoB12,Cyclonic,5,2850647.471
2017-07-04T08:55:02,25,25,25,2-Ketoglutaric acid,DeepSeaWater,Cyclonic,5,4395721.381
2017-07-04T08:55:03,25,25,25,2-Ketoglutaric acid,noB12,Cyclonic,5,2689157.885
2017-07-04T08:55:04,25,25,25,2-Ketoglutaric acid,B12,Cyclonic,5,739140.1232
2017-07-04T08:55:00,25,25,15,2-Ketoglutaric acid,Time0,Cyclonic,5,273879.9532
2017-10-04T16:00:00,27,27,25,2-Ketoglutaric acid,Control,Anticyclonic,0.2,282907.2011
2017-10-04T16:00:01,27,27,25,2-Ketoglutaric acid,DMB,Anticyclonic,0.2,300795.6361
2017-10-04T16:00:02,27,27,25,2-Ketoglutaric acid,DMBnoB12,Anticyclonic,0.2,691951.7158
2017-10-04T16:00:03,27,27,25,2-Ketoglutaric acid,DeepSeaWater,Anticyclonic,0.2,448933.2105
2017-10-04T16:00:04,27,27,25,2-Ketoglutaric acid,noB12,Anticyclonic,0.2,519182.2087
2017-10-04T16:00:05,27,27,25,2-Ketoglutaric acid,B12,Anticyclonic,0.2,343322.0806
2017-10-04T16:00:06,27,27,15,2-Ketoglutaric acid,Time0,Anticyclonic,0.2,421191.3638
2017-10-04T16:00:07,27,27,25,2-Ketoglutaric acid,Control,Anticyclonic,5,1015768.706
2017-10-04T16:00:08,27,27,25,2-Ketoglutaric acid,DMB,Anticyclonic,5,826080.3115
2017-10-04T16:00:09,27,27,25,2-Ketoglutaric acid,DMBnoB12,Anticyclonic,5,1924250.447
2017-10-04T16:00:10,27,27,25,2-Ketoglutaric acid,DeepSeaWater,Anticyclonic,5,3374453.553
2017-10-04T16:00:11,27,27,25,2-Ketoglutaric acid,noB12,Anticyclonic,5,2190054.135
2017-10-04T16:00:12,27,27,25,2-Ketoglutaric acid,B12,Anticyclonic,5,744395.1109
2017-10-04T16:00:13,27,27,15,2-Ketoglutaric acid,Time0,Anticyclonic,5,298580.5279
2017-07-04T08:55:00,25,25,25,2-O-alpha-D-Glucosylglycerol,Control,Cyclonic,0.2,18573.56452
2017-07-04T08:55:00,25,25,25,2-O-alpha-D-Glucosylglycerol,DMB,Cyclonic,0.2,8276.225806
2017-07-04T08:55:01,25,25,25,2-O-alpha-D-Glucosylglycerol,DMBnoB12,Cyclonic,0.2,9644.83871
2017-07-04T08:55:02,25,25,25,2-O-alpha-D-Glucosylglycerol,DeepSeaWater,Cyclonic,0.2,37749.58065
2017-07-04T08:55:03,25,25,25,2-O-alpha-D-Glucosylglycerol,noB12,Cyclonic,0.2,8267.33871
2017-07-04T08:55:04,25,25,25,2-O-alpha-D-Glucosylglycerol,B12,Cyclonic,0.2,10212.67742
2017-07-04T08:55:00,25,25,15,2-O-alpha-D-Glucosylglycerol,Time0,Cyclonic,0.2,
2017-07-04T08:55:00,25,25,25,2-O-alpha-D-Glucosylglycerol,Control,Cyclonic,5,767500.9032
2017-07-04T08:55:00,25,25,25,2-O-alpha-D-Glucosylglycerol,DMB,Cyclonic,5,432360.3763
2017-07-04T08:55:01,25,25,25,2-O-alpha-D-Glucosylglycerol,DMBnoB12,Cyclonic,5,1903966.935
2017-07-04T08:55:02,25,25,25,2-O-alpha-D-Glucosylglycerol,DeepSeaWater,Cyclonic,5,5321417.366
2017-07-04T08:55:03,25,25,25,2-O-alpha-D-Glucosylglycerol,noB12,Cyclonic,5,1905972.613
2017-07-04T08:55:04,25,25,25,2-O-alpha-D-Glucosylglycerol,B12,Cyclonic,5,168667.1183
2017-07-04T08:55:00,25,25,15,2-O-alpha-D-Glucosylglycerol,Time0,Cyclonic,5,18926.70968
2017-10-04T16:00:00,27,27,25,2-O-alpha-D-Glucosylglycerol,Control,Anticyclonic,0.2,
2017-10-04T16:00:01,27,27,25,2-O-alpha-D-Glucosylglycerol,DMB,Anticyclonic,0.2,
2017-10-04T16:00:02,27,27,25,2-O-alpha-D-Glucosylglycerol,DMBnoB12,Anticyclonic,0.2,8138.709677
2017-10-04T16:00:03,27,27,25,2-O-alpha-D-Glucosylglycerol,DeepSeaWater,Anticyclonic,0.2,21933.35484
2017-10-04T16:00:04,27,27,25,2-O-alpha-D-Glucosylglycerol,noB12,Anticyclonic,0.2,8715.903226
2017-10-04T16:00:05,27,27,25,2-O-alpha-D-Glucosylglycerol,B12,Anticyclonic,0.2,
2017-10-04T16:00:06,27,27,15,2-O-alpha-D-Glucosylglycerol,Time0,Anticyclonic,0.2,
